race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0749 (0.063-0.0861),0.001 (0.0005-0.0016),0.9241 (0.9129-0.936)
BVAP,0.0821 (0.0415-0.1254),0.0051 (0.0024-0.0098),0.9128 (0.8693-0.9537)
HVAP,0.1237 (0.0538-0.2015),0.0556 (0.0356-0.0716),0.8207 (0.7415-0.8914)
OVAP,0.0403 (0.0149-0.075),0.0057 (0.0025-0.0107),0.954 (0.919-0.9797)
