race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0885 (0.0776-0.0988),0.0068 (0.0032-0.012),0.0329 (0.0242-0.0415),0.8718 (0.859-0.8856)
OVAP,0.035 (0.0198-0.0525),0.03 (0.0211-0.0368),0.0385 (0.0245-0.0535),0.8964 (0.8742-0.917)
