race,COMP18D,COMP18R,COMP18None
WVAP,0.5258 (0.4698-0.5803),0.2114 (0.1791-0.2367),0.2628 (0.213-0.3205)
BVAP,0.4038 (0.2512-0.5743),0.0646 (0.03-0.1166),0.5316 (0.372-0.6752)
HVAP,0.7467 (0.5884-0.8763),0.1331 (0.0521-0.236),0.1202 (0.0414-0.2479)
OVAP,0.3134 (0.1453-0.5324),0.1394 (0.0581-0.2567),0.5472 (0.3513-0.6947)
