race,GOV14D,GOV14R,GOV14None
WVAP,0.249 (0.1959-0.3033),0.3765 (0.3628-0.3855),0.3744 (0.3232-0.4255)
OVAP,0.2234 (0.1379-0.3116),0.0255 (0.0105-0.0513),0.7511 (0.6672-0.8303)
