race,PRES12D,PRES12R,PRES12None
WVAP,0.5182 (0.4736-0.5504),0.392 (0.3762-0.4043),0.0897 (0.0625-0.1307)
OVAP,0.326 (0.2646-0.403),0.052 (0.0242-0.0884),0.622 (0.5545-0.6684)
