race,AG14D,AG14R,AG14None
WVAP,0.3044 (0.2539-0.3528),0.2912 (0.279-0.2993),0.4043 (0.3561-0.4555)
OVAP,0.2111 (0.1361-0.2923),0.0237 (0.0101-0.046),0.7652 (0.6846-0.8415)
