race,PRES16D,PRES16R,PRES16None
WVAP,0.5846 (0.5462-0.6151),0.31 (0.2929-0.3233),0.1054 (0.0789-0.1396)
OVAP,0.3323 (0.2715-0.4044),0.0692 (0.0358-0.1106),0.5985 (0.5396-0.6441)
