race,GOV18D,GOV18R,GOV18None
WVAP,0.3252 (0.1417-0.3854),0.533 (0.5004-0.5645),0.1418 (0.1-0.2988)
OVAP,0.2533 (0.1398-0.5724),0.1106 (0.0351-0.1812),0.6361 (0.386-0.7068)
