race,SEN18D,SEN18R,SEN18None
WVAP,0.5064 (0.4465-0.5574),0.2581 (0.2427-0.2686),0.2355 (0.1867-0.2927)
OVAP,0.3778 (0.2882-0.4813),0.0404 (0.0184-0.0729),0.5818 (0.4862-0.6652)
