race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.1863 (0.1643-0.207),0.036 (0.0224-0.0512),0.7777 (0.7551-0.8017)
OVAP,0.0753 (0.0443-0.1094),0.1383 (0.1115-0.163),0.7865 (0.7478-0.8215)
