race,SEN18D,SEN18R,SEN18None
WVAP,0.4682 (0.4059-0.5235),0.2206 (0.1825-0.2446),0.3111 (0.2553-0.374)
BVAP,0.4304 (0.2739-0.6084),0.057 (0.0245-0.1044),0.5126 (0.3411-0.6631)
HVAP,0.7339 (0.5654-0.8689),0.1322 (0.0486-0.2405),0.1339 (0.0436-0.2854)
OVAP,0.3603 (0.1844-0.5623),0.1283 (0.0516-0.2633),0.5113 (0.3214-0.6858)
