race,SEN12D,SEN12R,SEN12None
WVAP,0.4188 (0.3721-0.4629),0.2959 (0.2848-0.3033),0.2853 (0.2413-0.3319)
OVAP,0.3305 (0.2557-0.4088),0.0219 (0.009-0.0428),0.6476 (0.5709-0.7205)
