race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0707 (0.0595-0.0807),0.0233 (0.0186-0.0276),0.0282 (0.023-0.0331),0.8778 (0.8657-0.8902)
BVAP,0.1214 (0.0836-0.1605),0.0107 (0.0042-0.0213),0.019 (0.0068-0.0375),0.8489 (0.8048-0.8902)
HVAP,0.0776 (0.0246-0.1571),0.0357 (0.0154-0.0656),0.0578 (0.018-0.1016),0.8289 (0.7394-0.897)
OVAP,0.0365 (0.0128-0.0687),0.0238 (0.0106-0.0424),0.0213 (0.0064-0.0417),0.9185 (0.8806-0.952)
