race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.062 (0.0502-0.0742),0.0313 (0.0273-0.0338),0.0351 (0.0285-0.0404),0.8717 (0.8587-0.8842)
OVAP,0.0938 (0.0725-0.115),0.0065 (0.0028-0.0133),0.0141 (0.0058-0.025),0.8856 (0.864-0.9083)
