race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0784 (0.0655-0.0919),0.0013 (0.0007-0.0022),0.9202 (0.9067-0.9332)
OVAP,0.0641 (0.0435-0.0849),0.0109 (0.0094-0.0122),0.925 (0.9043-0.9457)
