race,AG14D,AG14R,AG14Turnout
WVAP,0.2866 (0.2254-0.3565),0.7134 (0.6435-0.7746),0.2733 (0.2522-0.2983)
OVAP,0.7423 (0.539-0.8681),0.2577 (0.1319-0.461),0.3317 (0.221-0.4319)
