race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.3621 (0.3411-0.384),0.6379 (0.616-0.6589),0.352 (0.3406-0.3643)
OVAP,0.9322 (0.8757-0.9697),0.0678 (0.0303-0.1243),0.2914 (0.2374-0.3432)
