race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.755 (0.7041-0.8039),0.245 (0.1961-0.2959),0.0561 (0.0514-0.0606)
OVAP,0.2468 (0.1348-0.3758),0.7532 (0.6242-0.8652),0.0776 (0.0579-0.0988)
