race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.3133 (0.2903-0.3354),0.6867 (0.6646-0.7097),0.4549 (0.4402-0.4696)
OVAP,0.9308 (0.8744-0.9678),0.0692 (0.0322-0.1256),0.3609 (0.2954-0.4258)
