race,AG18D,AG18R,AG18Turnout
WVAP,0.2495 (0.1952-0.305),0.7505 (0.695-0.8048),0.2869 (0.2661-0.3083)
OVAP,0.8104 (0.6961-0.8953),0.1896 (0.1047-0.3039),0.4576 (0.3594-0.5498)
