race,AG14D,AG14R,AG14Turnout
WVAP,0.2658 (0.2216-0.3144),0.7342 (0.6856-0.7784),0.2532 (0.2387-0.268)
BVAP,0.6585 (0.4458-0.815),0.3415 (0.185-0.5542),0.3222 (0.2288-0.4188)
HVAP,0.7702 (0.5458-0.9173),0.2298 (0.0827-0.4542),0.5687 (0.3935-0.7292)
OVAP,0.7577 (0.4772-0.9206),0.2423 (0.0794-0.5228),0.6522 (0.4786-0.7927)
