race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.4208 (0.3868-0.4557),0.067 (0.0425-0.0968),0.5123 (0.4753-0.5482),0.0401 (0.0371-0.0429)
OVAP,0.1762 (0.0846-0.2895),0.477 (0.366-0.5924),0.3468 (0.2233-0.4728),0.047 (0.0354-0.0596)
