race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.3119 (0.2546-0.3736),0.6881 (0.6264-0.7454),0.2811 (0.2605-0.305)
OVAP,0.8085 (0.6821-0.8997),0.1915 (0.1003-0.3179),0.4279 (0.3178-0.5215)
