race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.1787 (0.1411-0.2221),0.8213 (0.7779-0.8589),0.3267 (0.3085-0.3451)
OVAP,0.8162 (0.716-0.8993),0.1838 (0.1007-0.284),0.5536 (0.4702-0.6308)
