race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.3153 (0.2644-0.3604),0.4189 (0.3865-0.4551),0.2657 (0.2397-0.2909),0.037 (0.034-0.0398)
OVAP,0.7366 (0.6224-0.8312),0.1387 (0.0706-0.2236),0.1247 (0.0634-0.2128),0.0538 (0.0409-0.0685)
