race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.497 (0.4473-0.5423),0.503 (0.4577-0.5527),0.3058 (0.2822-0.3304)
OVAP,0.7352 (0.5735-0.8615),0.2648 (0.1385-0.4265),0.367 (0.2533-0.4743)
