race,AG18D,AG18R,AG18Turnout
WVAP,0.2614 (0.2135-0.3082),0.7386 (0.6918-0.7865),0.2756 (0.2593-0.2926)
BVAP,0.7033 (0.5431-0.8391),0.2967 (0.1609-0.4569),0.4109 (0.3085-0.5143)
HVAP,0.7584 (0.5474-0.9136),0.2416 (0.0864-0.4526),0.6308 (0.4672-0.7696)
OVAP,0.7776 (0.5954-0.9184),0.2224 (0.0816-0.4046),0.7433 (0.5877-0.8693)
