race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.4926 (0.449-0.5367),0.5074 (0.4633-0.551),0.2799 (0.2624-0.2976)
BVAP,0.6796 (0.492-0.8244),0.3204 (0.1756-0.508),0.3834 (0.2826-0.491)
HVAP,0.7162 (0.476-0.8882),0.2838 (0.1118-0.524),0.5975 (0.4185-0.7628)
OVAP,0.7221 (0.5118-0.8939),0.2779 (0.1061-0.4882),0.7195 (0.556-0.8425)
