race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.4472 (0.3993-0.4881),0.5528 (0.5119-0.6007),0.3088 (0.2875-0.3279)
OVAP,0.6453 (0.4509-0.8074),0.3547 (0.1926-0.5491),0.2826 (0.1956-0.3777)
