race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.1159 (0.0843-0.1549),0.8841 (0.8451-0.9157),0.2815 (0.2673-0.2964)
OVAP,0.8051 (0.7061-0.8866),0.1949 (0.1134-0.2939),0.4053 (0.3346-0.4707)
