race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.982 (0.9695-0.9896),0.018 (0.0104-0.0305),0.0328 (0.03-0.0353)
OVAP,0.7992 (0.7099-0.8712),0.2008 (0.1288-0.2901),0.0301 (0.021-0.0414)
