race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.2064 (0.1646-0.257),0.7936 (0.743-0.8354),0.3314 (0.3128-0.3506)
OVAP,0.8221 (0.7204-0.9019),0.1779 (0.0981-0.2796),0.547 (0.4604-0.6239)
