race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.0789 (0.0554-0.1089),0.9211 (0.8911-0.9446),0.2964 (0.2783-0.313)
OVAP,0.7367 (0.6193-0.8489),0.2633 (0.1511-0.3807),0.4253 (0.3523-0.5005)
