,COUNTY,VAP,NAME,WVAP,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV14PDNone,GOV14PD_AB_pct,GOV14PD_DG_pct,GOV14PD_HM_pct,GOV14PDNone_pct
195,Washington,3190,Washington Precinct 27-002,2627,47,51,18,563,3190,1,0.8235109717868339,0.17648902821316614,3074,0.014733542319749215,0.01598746081504702,0.005642633228840125,0.9636363636363636
196,Washington,2782,Washington Precinct 18-002,2491,32,40,19,291,2782,1,0.8953989935298347,0.10460100647016535,2691,0.011502516175413372,0.014378145219266714,0.006829618979151689,0.9672897196261683
197,Washington,3320,Washington Precinct 18-003,2539,61,13,18,781,3320,1,0.7647590361445783,0.23524096385542168,3228,0.018373493975903616,0.00391566265060241,0.005421686746987952,0.9722891566265061
198,Washington,2141,Washington Precinct 18-001,2034,24,33,19,107,2141,1,0.9500233535730966,0.04997664642690332,2065,0.011209715086408221,0.015413358243811303,0.008874357776739842,0.9645025688930406
199,Washington,2206,Washington Precinct 09-000,2147,42,36,19,59,2206,1,0.9732547597461468,0.02674524025385313,2109,0.019038984587488667,0.016319129646418858,0.008612873980054397,0.956029011786038
241,Washington,2643,Washington Precinct 05-000,2584,27,35,13,59,2643,1,0.9776768823306848,0.022323117669315173,2568,0.01021566401816118,0.01324252743094968,0.004918653045781309,0.9716231555051078
243,Washington,1589,Washington Precinct 15-000,1563,14,20,9,26,1589,1,0.9836375078665828,0.016362492133417242,1546,0.00881057268722467,0.012586532410320957,0.005663939584644431,0.9729389553178099
244,Washington,2398,Washington Precinct 04-000,2339,24,40,10,59,2398,1,0.9753961634695579,0.024603836530442035,2324,0.010008340283569641,0.016680567139282735,0.004170141784820684,0.969140950792327
245,Washington,563,Washington Precinct 11-002,546,10,14,10,17,563,1,0.9698046181172292,0.03019538188277087,529,0.017761989342806393,0.02486678507992895,0.017761989342806393,0.9396092362344582
246,Washington,2586,Washington Precinct 01-000,2492,34,37,48,94,2586,1,0.9636504253673627,0.03634957463263728,2467,0.013147718484145398,0.014307811291569992,0.018561484918793503,0.9539829853054911
247,Washington,1721,Washington Precinct 20-000,1673,19,31,19,48,1721,1,0.9721092388146426,0.02789076118535735,1652,0.011040092969203951,0.01801278326554329,0.011040092969203951,0.9599070307960488
248,Washington,6302,Washington Precinct 12-000,3018,25,36,23,3284,6302,1,0.4788955887019994,0.5211044112980007,6218,0.003966994604887337,0.005712472231037766,0.0036496350364963502,0.9866708981275786
249,Washington,929,Washington Precinct 11-001,892,17,8,23,37,929,1,0.9601722282023681,0.03982777179763186,881,0.01829924650161464,0.008611410118406888,0.024757804090419805,0.9483315392895587
1804,Washington,1117,Washington Precinct 24-001,918,8,5,3,199,1117,1,0.8218442256042973,0.17815577439570277,1101,0.007162041181736795,0.004476275738585497,0.0026857654431512983,0.9856759176365264
1805,Washington,5439,Washington Precinct 17-001,4429,12,9,5,1010,5439,1,0.8143041000183857,0.18569589998161426,5413,0.002206287920573635,0.001654715940430226,0.0009192866335723479,0.9952197095054238
