race,Michael D. Brady,Moises M. Rodrigues,SSEN20PNone
B+VAP,0.0274 (0.0106-0.0503),0.105 (0.076-0.1324),0.8677 (0.834-0.8995)
OVAP,0.1424 (0.1314-0.151),0.0763 (0.065-0.0898),0.7812 (0.7663-0.7963)
