race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.3933 (0.3387-0.4577),0.6067 (0.5423-0.6613),0.6141 (0.5839-0.6523)
OVAP,0.5855 (0.4744-0.7223),0.4145 (0.2777-0.5256),0.5545 (0.4236-0.6638)
