,COUNTY,VAP,NAME,WVAP,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,AG14PDNone,AG14PD_BFR_pct,AG14PD_ABR_pct,AG14PD_JCA_pct,AG14PDNone_pct
100,Frederick,3630,Frederick Precinct 14-001,3427,128,18,86,203,3630,1,0.9440771349862259,0.0559228650137741,3398,0.03526170798898071,0.0049586776859504135,0.023691460055096418,0.9360881542699725
101,Frederick,2062,Frederick Precinct 03-001,1930,66,13,51,132,2062,1,0.9359844810863239,0.06401551891367604,1932,0.03200775945683802,0.006304558680892337,0.024733268671193017,0.9369544131910766
102,Frederick,4117,Frederick Precinct 23-001,3207,106,32,85,910,4117,1,0.7789652659703667,0.22103473402963322,3894,0.025746903084770463,0.007772649987855235,0.020646101530240466,0.9458343453971338
103,Frederick,674,Frederick Precinct 24-003,646,45,7,19,28,674,1,0.9584569732937686,0.04154302670623145,603,0.06676557863501484,0.010385756676557863,0.028189910979228485,0.8946587537091988
104,Frederick,2134,Frederick Precinct 03-003,1924,62,8,50,210,2134,1,0.901593252108716,0.09840674789128398,2014,0.029053420805998126,0.0037488284910965324,0.023430178069353328,0.943767572633552
105,Frederick,1667,Frederick Precinct 24-001,1533,77,20,58,134,1667,1,0.9196160767846431,0.08038392321535692,1512,0.04619076184763048,0.01199760047990402,0.03479304139172166,0.9070185962807439
106,Frederick,3265,Frederick Precinct 02-015,2683,138,29,92,582,3265,1,0.8217457886676875,0.1782542113323124,3006,0.04226646248085758,0.00888208269525268,0.028177641653905055,0.9206738131699846
107,Frederick,3578,Frederick Precinct 26-001,3149,134,31,106,429,3578,1,0.8801006148686417,0.1198993851313583,3307,0.03745108999441028,0.008664058133035215,0.029625489100055896,0.9242593627724986
112,Frederick,1799,Frederick Precinct 10-001,1737,38,12,19,62,1799,1,0.9655364091161757,0.03446359088382435,1730,0.021122846025569762,0.006670372429127293,0.010561423012784881,0.9616453585325181
113,Frederick,2997,Frederick Precinct 15-001,2874,38,25,74,123,2997,1,0.958958958958959,0.04104104104104104,2860,0.012679346012679346,0.008341675008341674,0.024691358024691357,0.9542876209542877
114,Frederick,3794,Frederick Precinct 15-002,3627,74,21,87,167,3794,1,0.955983131259884,0.04401686874011597,3612,0.019504480759093307,0.005535055350553505,0.022930943595150237,0.9520295202952029
115,Frederick,1007,Frederick Precinct 04-001,964,8,0,11,43,1007,1,0.9572989076464746,0.04270109235352532,988,0.007944389275074478,0.0,0.010923535253227408,0.9811320754716981
116,Frederick,4025,Frederick Precinct 07-002,2268,82,35,50,1757,4025,1,0.5634782608695652,0.4365217391304348,3858,0.020372670807453416,0.008695652173913044,0.012422360248447204,0.9585093167701864
117,Frederick,2425,Frederick Precinct 09-001,2177,89,26,57,248,2425,1,0.8977319587628866,0.1022680412371134,2253,0.036701030927835054,0.010721649484536083,0.023505154639175258,0.9290721649484536
118,Frederick,2868,Frederick Precinct 09-006,2447,102,25,77,421,2868,1,0.8532078103207811,0.14679218967921898,2664,0.03556485355648536,0.008716875871687587,0.02684797768479777,0.9288702928870293
119,Frederick,3752,Frederick Precinct 13-001,3415,119,30,93,337,3752,1,0.910181236673774,0.08981876332622601,3510,0.03171641791044776,0.007995735607675906,0.02478678038379531,0.935501066098081
120,Frederick,3625,Frederick Precinct 09-007,3267,130,28,88,358,3625,1,0.9012413793103449,0.09875862068965517,3379,0.03586206896551724,0.007724137931034483,0.024275862068965516,0.9321379310344827
121,Frederick,3137,Frederick Precinct 09-004,2926,87,18,51,211,3137,1,0.932738284985655,0.06726171501434491,2981,0.027733503347146957,0.0057379662097545425,0.01625757092763787,0.9502709595154606
122,Frederick,3312,Frederick Precinct 09-002,3071,93,26,80,241,3312,1,0.9272342995169082,0.07276570048309179,3113,0.028079710144927536,0.00785024154589372,0.024154589371980676,0.9399154589371981
123,Frederick,1427,Frederick Precinct 09-005,1331,61,5,25,96,1427,1,0.9327259985984583,0.0672740014015417,1336,0.042747021723896286,0.00350385423966363,0.01751927119831815,0.9362298528381219
124,Frederick,3254,Frederick Precinct 26-002,2717,100,28,67,537,3254,1,0.8349723417332514,0.16502765826674862,3059,0.03073140749846343,0.008604794099569761,0.020590043023970498,0.9400737553779963
125,Frederick,2580,Frederick Precinct 11-001,2415,68,10,50,165,2580,1,0.936046511627907,0.06395348837209303,2452,0.02635658914728682,0.003875968992248062,0.01937984496124031,0.9503875968992248
126,Frederick,1877,Frederick Precinct 08-001,1780,53,19,45,97,1877,1,0.94832179009057,0.051678209909429944,1760,0.02823654768247203,0.010122535961640916,0.02397442727757059,0.9376664890783165
127,Frederick,1703,Frederick Precinct 17-001,1646,44,3,34,57,1703,1,0.9665296535525543,0.03347034644744568,1622,0.025836758661186142,0.0017615971814445098,0.01996476805637111,0.9524368761009983
128,Frederick,4393,Frederick Precinct 18-001,3975,91,24,89,418,4393,1,0.9048486228090143,0.09515137719098565,4189,0.020714773503300705,0.005463236967903483,0.020259503755975416,0.9535624857728204
130,Frederick,2489,Frederick Precinct 18-002,2395,65,10,32,94,2489,1,0.9622338288469264,0.03776617115307352,2382,0.026114905584572117,0.004017677782241864,0.012856568903173965,0.9570108477300121
133,Frederick,1309,Frederick Precinct 19-001,1228,33,8,17,81,1309,1,0.9381207028265852,0.061879297173414824,1251,0.025210084033613446,0.006111535523300229,0.012987012987012988,0.9556913674560733
