,COUNTY,VAP,NAME,WVAP,SEN18D,SEN18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN18None,SEN18D_pct,SEN18R_pct,SEN18None_pct
100,Frederick,3630,Frederick Precinct 14-001,3427,746,1202,203,3630,1,0.9440771349862259,0.0559228650137741,1682,0.20550964187327825,0.33112947658402203,0.4633608815426997
101,Frederick,2062,Frederick Precinct 03-001,1930,330,457,132,2062,1,0.9359844810863239,0.06401551891367604,1275,0.1600387972841901,0.22162948593598447,0.6183317167798255
102,Frederick,4117,Frederick Precinct 23-001,3207,1152,906,910,4117,1,0.7789652659703667,0.22103473402963322,2059,0.27981539956278845,0.22006315278115132,0.5001214476560603
103,Frederick,674,Frederick Precinct 24-003,646,146,148,28,674,1,0.9584569732937686,0.04154302670623145,380,0.2166172106824926,0.2195845697329377,0.5637982195845698
104,Frederick,2134,Frederick Precinct 03-003,1924,404,480,210,2134,1,0.901593252108716,0.09840674789128398,1250,0.1893158388003749,0.22492970946579194,0.5857544517338332
105,Frederick,1667,Frederick Precinct 24-001,1533,386,453,134,1667,1,0.9196160767846431,0.08038392321535692,828,0.23155368926214756,0.27174565086982605,0.4967006598680264
106,Frederick,3265,Frederick Precinct 02-015,2683,838,616,582,3265,1,0.8217457886676875,0.1782542113323124,1811,0.2566615620214395,0.1886676875957121,0.5546707503828484
107,Frederick,3578,Frederick Precinct 26-001,3149,769,859,429,3578,1,0.8801006148686417,0.1198993851313583,1950,0.21492453884851873,0.24007825600894353,0.5449972051425377
112,Frederick,1799,Frederick Precinct 10-001,1737,166,510,62,1799,1,0.9655364091161757,0.03446359088382435,1123,0.09227348526959422,0.28349082823790994,0.6242356864924958
113,Frederick,2997,Frederick Precinct 15-001,2874,309,718,123,2997,1,0.958958958958959,0.04104104104104104,1970,0.1031031031031031,0.23957290623957292,0.6573239906573239
114,Frederick,3794,Frederick Precinct 15-002,3627,362,811,167,3794,1,0.955983131259884,0.04401686874011597,2621,0.09541381128096996,0.21375856615709013,0.6908276225619399
115,Frederick,1007,Frederick Precinct 04-001,964,107,269,43,1007,1,0.9572989076464746,0.04270109235352532,631,0.10625620655412116,0.2671300893743793,0.6266137040714995
116,Frederick,4025,Frederick Precinct 07-002,2268,1092,677,1757,4025,1,0.5634782608695652,0.4365217391304348,2256,0.271304347826087,0.16819875776397517,0.5604968944099379
117,Frederick,2425,Frederick Precinct 09-001,2177,677,861,248,2425,1,0.8977319587628866,0.1022680412371134,887,0.2791752577319588,0.35505154639175257,0.36577319587628865
118,Frederick,2868,Frederick Precinct 09-006,2447,721,681,421,2868,1,0.8532078103207811,0.14679218967921898,1466,0.25139470013947,0.23744769874476987,0.5111576011157601
119,Frederick,3752,Frederick Precinct 13-001,3415,961,1060,337,3752,1,0.910181236673774,0.08981876332622601,1731,0.25613006396588484,0.28251599147121537,0.4613539445628998
120,Frederick,3625,Frederick Precinct 09-007,3267,967,1085,358,3625,1,0.9012413793103449,0.09875862068965517,1573,0.26675862068965517,0.2993103448275862,0.4339310344827586
121,Frederick,3137,Frederick Precinct 09-004,2926,583,972,211,3137,1,0.932738284985655,0.06726171501434491,1582,0.1858463500159388,0.3098501753267453,0.504303474657316
122,Frederick,3312,Frederick Precinct 09-002,3071,722,1083,241,3312,1,0.9272342995169082,0.07276570048309179,1507,0.2179951690821256,0.3269927536231884,0.455012077294686
123,Frederick,1427,Frederick Precinct 09-005,1331,314,365,96,1427,1,0.9327259985984583,0.0672740014015417,748,0.22004204625087595,0.255781359495445,0.524176594253679
124,Frederick,3254,Frederick Precinct 26-002,2717,691,772,537,3254,1,0.8349723417332514,0.16502765826674862,1791,0.21235402581438229,0.23724646588813766,0.5503995082974801
125,Frederick,2580,Frederick Precinct 11-001,2415,338,708,165,2580,1,0.936046511627907,0.06395348837209303,1534,0.1310077519379845,0.2744186046511628,0.5945736434108527
126,Frederick,1877,Frederick Precinct 08-001,1780,297,645,97,1877,1,0.94832179009057,0.051678209909429944,935,0.1582312200319659,0.3436334576451785,0.4981353223228556
127,Frederick,1703,Frederick Precinct 17-001,1646,242,547,57,1703,1,0.9665296535525543,0.03347034644744568,914,0.14210217263652378,0.3211978860833823,0.5366999412800939
128,Frederick,4393,Frederick Precinct 18-001,3975,999,1420,418,4393,1,0.9048486228090143,0.09515137719098565,1974,0.22740723878898247,0.32324152060095607,0.4493512406100615
130,Frederick,2489,Frederick Precinct 18-002,2395,380,919,94,2489,1,0.9622338288469264,0.03776617115307352,1190,0.15267175572519084,0.36922458818802734,0.47810365608678185
133,Frederick,1309,Frederick Precinct 19-001,1228,176,484,81,1309,1,0.9381207028265852,0.061879297173414824,649,0.13445378151260504,0.3697478991596639,0.4957983193277311
136,Frederick,1991,Frederick Precinct 24-002,1555,373,399,436,1991,1,0.7810145655449523,0.21898543445504773,1219,0.18734304369663485,0.20040180813661476,0.6122551481667504
137,Frederick,3176,Frederick Precinct 03-002,3012,582,802,164,3176,1,0.9483627204030227,0.05163727959697733,1792,0.18324937027707808,0.25251889168765745,0.5642317380352645
