race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.7295 (0.7153-0.7445),0.2705 (0.2555-0.2847),0.8769 (0.851-0.8992)
OVAP,0.9 (0.8519-0.9374),0.1 (0.0626-0.1481),0.364 (0.3361-0.3965)
