race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.4327 (0.4049-0.4579),0.337 (0.3184-0.3567),0.2303 (0.2097-0.251),0.1796 (0.1706-0.1879)
OVAP,0.6605 (0.5658-0.7583),0.1232 (0.0742-0.1888),0.2164 (0.1375-0.2984),0.0509 (0.0419-0.0612)
