race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.883 (0.8507-0.9136),0.117 (0.0864-0.1493),0.3326 (0.3115-0.3525)
OVAP,0.4821 (0.3869-0.5765),0.5179 (0.4235-0.6131),0.1227 (0.1034-0.1434)
