race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9865 (0.9803-0.9914),0.0135 (0.0086-0.0197),0.1084 (0.1016-0.1152)
BVAP,0.6261 (0.4872-0.7399),0.3739 (0.2601-0.5128),0.0496 (0.0353-0.0663)
HVAP,0.6826 (0.4605-0.8465),0.3174 (0.1535-0.5395),0.0176 (0.0096-0.0294)
OVAP,0.7537 (0.5727-0.8808),0.2463 (0.1192-0.4273),0.0232 (0.0131-0.0382)
