race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.6006 (0.5794-0.6204),0.3994 (0.3796-0.4206),0.5653 (0.541-0.5883)
OVAP,0.8397 (0.7574-0.9062),0.1603 (0.0938-0.2426),0.1264 (0.103-0.1514)
