race,AG18D,AG18R,AG18Turnout
WVAP,0.7521 (0.7404-0.765),0.2479 (0.235-0.2596),0.8125 (0.7866-0.8375)
OVAP,0.8957 (0.852-0.9327),0.1043 (0.0673-0.148),0.2681 (0.2382-0.3008)
