race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.6835 (0.6689-0.6988),0.3165 (0.3012-0.3311),0.8917 (0.8721-0.9093)
OVAP,0.8752 (0.8221-0.9211),0.1248 (0.0789-0.1779),0.3142 (0.2921-0.3395)
