race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.8237 (0.7919-0.8502),0.0267 (0.016-0.0415),0.1496 (0.1259-0.1776),0.1707 (0.1612-0.1787)
OVAP,0.2234 (0.1409-0.3234),0.3832 (0.3143-0.4465),0.3934 (0.3123-0.4642),0.0534 (0.046-0.0623)
