race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.7652 (0.7536-0.7776),0.2348 (0.2224-0.2464),0.806 (0.7783-0.83)
OVAP,0.8984 (0.8576-0.9338),0.1016 (0.0662-0.1424),0.2704 (0.2399-0.3059)
