race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.6851 (0.6647-0.7068),0.3149 (0.2932-0.3353),0.5352 (0.5114-0.5588)
BVAP,0.8607 (0.7602-0.9294),0.1393 (0.0706-0.2398),0.2229 (0.1634-0.2873)
HVAP,0.7719 (0.5665-0.9066),0.2281 (0.0934-0.4335),0.0734 (0.0396-0.1173)
OVAP,0.6011 (0.3857-0.7837),0.3989 (0.2163-0.6143),0.147 (0.0961-0.2089)
