race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.7967 (0.7798-0.8141),0.2033 (0.1859-0.2202),0.7643 (0.7335-0.7949)
BVAP,0.862 (0.7669-0.9254),0.138 (0.0746-0.2331),0.4683 (0.3555-0.5776)
HVAP,0.6873 (0.5226-0.8317),0.3127 (0.1683-0.4774),0.2643 (0.1887-0.3608)
OVAP,0.7304 (0.5984-0.8504),0.2696 (0.1496-0.4016),0.2797 (0.2036-0.3919)
