race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.7348 (0.7216-0.748),0.2652 (0.252-0.2784),0.8151 (0.7879-0.8371)
OVAP,0.8686 (0.8095-0.9164),0.1314 (0.0836-0.1905),0.2185 (0.191-0.2516)
