race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.496 (0.4704-0.5218),0.504 (0.4782-0.5296),0.8344 (0.8074-0.8569)
OVAP,0.8076 (0.7244-0.8755),0.1924 (0.1245-0.2756),0.2514 (0.2236-0.2846)
