race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.7795 (0.7667-0.7923),0.2205 (0.2077-0.2333),0.7803 (0.7507-0.8072)
OVAP,0.9042 (0.8603-0.9399),0.0958 (0.0601-0.1397),0.2669 (0.2345-0.3023)
