race,AG14D,AG14R,AG14Turnout
WVAP,0.6888 (0.6667-0.711),0.3112 (0.289-0.3333),0.5246 (0.4999-0.549)
BVAP,0.8622 (0.7613-0.9322),0.1378 (0.0678-0.2387),0.216 (0.154-0.2783)
HVAP,0.7793 (0.4398-0.9113),0.2207 (0.0887-0.5602),0.0692 (0.0305-0.1138)
OVAP,0.606 (0.3992-0.8036),0.394 (0.1964-0.6008),0.1416 (0.0928-0.2063)
