race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.751 (0.7387-0.7638),0.249 (0.2362-0.2613),0.8579 (0.8343-0.8812)
OVAP,0.9081 (0.8697-0.9417),0.0919 (0.0583-0.1303),0.3588 (0.3299-0.3884)
