race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.6688 (0.6495-0.6877),0.3312 (0.3123-0.3505),0.5626 (0.5376-0.588)
OVAP,0.851 (0.7704-0.9151),0.149 (0.0849-0.2296),0.126 (0.0999-0.1536)
