race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.3235 (0.2993-0.3464),0.0363 (0.0329-0.0395),0.0929 (0.0846-0.1),0.1761 (0.1617-0.1891),0.3713 (0.3506-0.3926),0.2298 (0.2204-0.2386)
OVAP,0.5782 (0.5073-0.6486),0.0246 (0.0158-0.0366),0.0473 (0.0291-0.0711),0.0872 (0.0524-0.1308),0.2627 (0.1972-0.3273),0.0795 (0.0695-0.0903)
