race,AG14D,AG14R,AG14Turnout
WVAP,0.6749 (0.6561-0.6916),0.3251 (0.3084-0.3439),0.5518 (0.5259-0.5753)
OVAP,0.8462 (0.772-0.9049),0.1538 (0.0951-0.228),0.1215 (0.0976-0.1481)
