race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9848 (0.9777-0.9904),0.0152 (0.0096-0.0223),0.1149 (0.1073-0.1223)
OVAP,0.6313 (0.5172-0.7203),0.3687 (0.2797-0.4828),0.0239 (0.0179-0.0302)
