race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.1012 (0.0956-0.1068),0.0126 (0.0095-0.016),0.8863 (0.8801-0.8925)
OVAP,0.0469 (0.0377-0.0571),0.1339 (0.1239-0.1438),0.8192 (0.8059-0.8324)
