race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0323 (0.029-0.0358),0.0011 (0.0006-0.0018),0.9665 (0.963-0.9699)
OVAP,0.0672 (0.0602-0.0741),0.014 (0.0128-0.0151),0.9188 (0.9117-0.9261)
