race,PRES16D,PRES16R,PRES16None
WVAP,0.1665 (0.1534-0.179),0.2177 (0.2115-0.2225),0.6158 (0.6028-0.6296)
BVAP,0.2742 (0.2483-0.2998),0.0065 (0.0035-0.0107),0.7193 (0.6932-0.7455)
HVAP,0.0957 (0.0366-0.1943),0.0425 (0.0141-0.0879),0.8619 (0.7583-0.9243)
OVAP,0.1516 (0.0614-0.2594),0.0349 (0.0138-0.0697),0.8134 (0.6994-0.9075)
