race,SEN12D,SEN12R,SEN12None
WVAP,0.1766 (0.1651-0.188),0.1762 (0.1733-0.1787),0.6472 (0.6355-0.6586)
OVAP,0.3363 (0.3122-0.3603),0.0061 (0.0033-0.01),0.6576 (0.6338-0.6809)
