race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0127 (0.0104-0.0152),0.0379 (0.0354-0.0404),0.0362 (0.0337-0.0387),0.9131 (0.909-0.9172)
OVAP,0.0667 (0.06-0.0738),0.0143 (0.0102-0.0191),0.0151 (0.011-0.0199),0.9039 (0.8947-0.913)
