race,AG14D,AG14R,AG14None
WVAP,0.1356 (0.1252-0.146),0.1949 (0.1919-0.1975),0.6695 (0.6586-0.6802)
OVAP,0.2042 (0.1816-0.2269),0.0079 (0.0045-0.0126),0.7879 (0.7649-0.8108)
